paper,IV,ref,lci,or,uci,rep,changed
Paper 5 Table 4 Model 2,"25,000 - 49,999",,0.63,1,1.57,Original,
Paper 5 Table 4 Model 2,"25,000 - 49,999",,0.67,1.05,1.66,Reproduced,
Paper 5 Table 4 Model 2,"50,000 - 99,999",,0.51,0.87,1.49,Original,
Paper 5 Table 4 Model 2,"50,000 - 99,999",,0.54,0.94,1.62,Reproduced,
Paper 5 Table 4 Model 2,"100,000 - 499,999",,0.49,0.97,1.95,Original,
Paper 5 Table 4 Model 2,"100,000 - 499,999",,0.51,1.02,2.07,Reproduced,
Paper 5 Table 4 Model 2,"500,000+",,0.36,0.94,2.48,Original,
Paper 5 Table 4 Model 2,"500,000+",,0.49,1.29,3.44,Reproduced,
Paper 5 Table 4 Model 2,Governance type: State governance (ref),ref,1,1,1,Original,
Paper 5 Table 4 Model 2,Governance type: State governance (ref),ref,1,1,1,Reproduced,
Paper 5 Table 4 Model 2,Local governance,,1.05,1.88,3.35,Original,
Paper 5 Table 4 Model 2,Local governance,,0.97,1.71,3.03,Reproduced,
Paper 5 Table 4 Model 2,Shared governance,,2.42,4.48,8.27,Original,
Paper 5 Table 4 Model 2,Shared governance,,2.44,4.46,8.14,Reproduced,
Paper 5 Table 4 Model 2,Local BOH: Having a local BOH,,0.47,0.88,1.65,Original,
Paper 5 Table 4 Model 2,Local BOH: Having a local BOH,,0.47,0.85,1.56,Reproduced,
Paper 5 Table 4 Model 2,BOH with authority to hire or fire agency head,,0.98,1.57,2.53,Original,
Paper 5 Table 4 Model 2,BOH with authority to hire or fire agency head,,0.97,1.6,2.63,Reproduced,
Paper 5 Table 4 Model 2,BOH with authority to approve LHD budget,,0.4,0.65,1.05,Original,
Paper 5 Table 4 Model 2,BOH with authority to approve LHD budget,,0.36,0.58,0.96,Reproduced,2sig
Paper 5 Table 4 Model 2,BOH with authority to adopt PH regulations,,0.52,0.87,1.32,Original,
Paper 5 Table 4 Model 2,BOH with authority to adopt PH regulations,,0.53,0.86,1.39,Reproduced,
Paper 5 Table 4 Model 2,BOH with authority to set and impose fees,,0.97,1.54,2.44,Original,
Paper 5 Table 4 Model 2,BOH with authority to set and impose fees,,1.06,1.72,2.77,Reproduced,2sig
Paper 5 Table 4 Model 2,BOH with authority to impose taxes for PH,,0.72,1.09,1.64,Original,
Paper 5 Table 4 Model 2,BOH with authority to impose taxes for PH,,0.72,1.1,1.68,Reproduced,
Paper 5 Table 4 Model 2,BOH with authority to request PH levy,,0.61,0.87,1.23,Original,
Paper 5 Table 4 Model 2,BOH with authority to request PH levy,,0.6,0.86,1.22,Reproduced,
Paper 5 Table 4 Model 2,BOH with authority to advise the LHD or elected officials,,0.51,0.84,1.38,Original,
Paper 5 Table 4 Model 2,BOH with authority to advise the LHD or elected officials,,0.5,0.81,1.33,Reproduced,
Paper 5 Table 4 Model 2,"BOH with authority to set policies, goals and priorities",,0.64,1.13,2.02,Original,
Paper 5 Table 4 Model 2,"BOH with authority to set policies, goals and priorities",,0.66,1.2,2.17,Reproduced,
Paper 5 Table 4 Model 2,Providing clinical services,,0.74,1.01,1.38,Original,
Paper 5 Table 4 Model 2,Providing clinical services,,0.72,0.98,1.34,Reproduced,
Paper 5 Table 4 Model 2,"Total expenditures: <$500,000 (ref)",ref,1,1,1,Original,
Paper 5 Table 4 Model 2,"Total expenditures: <$500,000 (ref)",ref,1,1,1,Reproduced,
Paper 5 Table 4 Model 2,"$500,000 - 999,999",,1.46,2.44,4.06,Original,
Paper 5 Table 4 Model 2,"$500,000 - 999,999",,1.45,2.42,4.04,Reproduced,
Paper 5 Table 4 Model 2,"$1,000,000 - $4,999,999",,1.04,1.9,3.48,Original,
Paper 5 Table 4 Model 2,"$1,000,000 - $4,999,999",,0.98,1.8,3.29,Reproduced,2non
Paper 5 Table 4 Model 2,"$5,000,000 - 9,999,999",,1.13,2.63,6.15,Original,
Paper 5 Table 4 Model 2,"$5,000,000 - 9,999,999",,1.04,2.42,5.67,Reproduced,
Paper 5 Table 4 Model 2,"$10,000,000+",,0.77,2.07,5.6,Original,
Paper 5 Table 4 Model 2,"$10,000,000+",,0.61,1.66,4.52,Reproduced,
Paper 5 Table 4 Model 2,Expenditures per capita: <$20 (ref),ref,1,1,1,Original,
Paper 5 Table 4 Model 2,Expenditures per capita: <$20 (ref),ref,1,1,1,Reproduced,
Paper 5 Table 4 Model 2,$20 -34.99,,0.67,1.1,1.78,Original,
Paper 5 Table 4 Model 2,$20 -34.99,,0.71,1.16,1.9,Reproduced,
Paper 5 Table 4 Model 2,$35-44.99,,0.92,1.58,2.71,Original,
Paper 5 Table 4 Model 2,$35-44.99,,0.94,1.63,2.82,Reproduced,
Paper 5 Table 4 Model 2,$45 - 54.99,,0.69,1.28,2.4,Original,
Paper 5 Table 4 Model 2,$45 - 54.99,,0.66,1.25,2.36,Reproduced,
Paper 5 Table 4 Model 2,$55+,,0.48,0.89,1.65,Original,
Paper 5 Table 4 Model 2,$55+,,0.52,0.97,1.81,Reproduced,
Paper 5 Table 4 Model 2,Mean % of revenues from major sources: Local,,0.98,0.99,1,Original,
Paper 5 Table 4 Model 2,Mean % of revenues from major sources: Local,,0.98,0.99,0.99,Reproduced,2sig
Paper 5 Table 4 Model 2,Medicaid and Medicare,,0.99,1,1.01,Original,
Paper 5 Table 4 Model 2,Medicaid and Medicare,,0.98,1,1.01,Reproduced,
Paper 5 Table 4 Model 2,Federal,,0.98,0.99,1,Original,
Paper 5 Table 4 Model 2,Federal,,0.14,0.38,1.01,Reproduced,
Paper 3 Table 3 Model 1,"50,000 - 499,999",,0.91,1.75,3.37,Original,
Paper 3 Table 3 Model 1,"50,000 - 499,999",,0.9,1.74,3.35,Reproduced,
Paper 3 Table 3 Model 1,"50,000 - 499,999",,0.93,1.77,3.37,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,"500,000+",,1.49,3.6,8.67,Original,
Paper 3 Table 3 Model 1,"500,000+",,1.51,3.67,8.92,Reproduced,
Paper 3 Table 3 Model 1,"500,000+",,1.35,3.4,8.57,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Community health assessment (<5 years): Yes (ref=no),,0.35,0.68,1.32,Original,
Paper 3 Table 3 Model 1,Community health assessment (<5 years): Yes (ref=no),,0.36,0.7,1.39,Reproduced,
Paper 3 Table 3 Model 1,Community health assessment (<5 years): Yes (ref=no),,0.35,0.68,1.32,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Community health improvement plan (<5 years): Yes (ref=no),,1.64,3.2,6.27,Original,
Paper 3 Table 3 Model 1,Community health improvement plan (<5 years): Yes (ref=no),,1.53,3.01,5.91,Reproduced,
Paper 3 Table 3 Model 1,Community health improvement plan (<5 years): Yes (ref=no),,1.34,2.52,4.74,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,County,,0.48,1.17,2.9,Original,
Paper 3 Table 3 Model 1,County,,0.47,1.15,2.8,Reproduced,
Paper 3 Table 3 Model 1,County,,0.4,1.03,2.66,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Cross-jurisdictional sharing (ref=no),,0.74,1.25,2.11,Original,
Paper 3 Table 3 Model 1,Cross-jurisdictional sharing (ref=no),,0.76,1.3,2.2,Reproduced,
Paper 3 Table 3 Model 1,Cross-jurisdictional sharing (ref=no),,0.82,1.4,2.38,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Decided not to apply,,0.28,0.68,1.68,Original,
Paper 3 Table 3 Model 1,Decided not to apply,,0.27,0.67,1.67,Reproduced,
Paper 3 Table 3 Model 1,Decided not to apply,,0.32,0.73,1.67,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 1,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Geographic region: Northeast (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 1,Geographic region: Northeast (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,Geographic region: Northeast (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Governance type: State (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 1,Governance type: State (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,Governance type: State (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Jurisdiction: City (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 1,Jurisdiction: City (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,Jurisdiction: City (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Local,,0.44,1.25,3.53,Original,
Paper 3 Table 3 Model 1,Local,,0.5,1.43,4.08,Reproduced,
Paper 3 Table 3 Model 1,Local,,0.62,1.79,5.14,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Local BOH (ref=no),,0.41,0.75,1.37,Original,
Paper 3 Table 3 Model 1,Local BOH (ref=no),,0.44,0.8,1.48,Reproduced,
Paper 3 Table 3 Model 1,Local BOH (ref=no),,0.51,0.91,1.63,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Midwest,,0.67,1.83,5,Original,
Paper 3 Table 3 Model 1,Midwest,,0.68,1.83,4.94,Reproduced,
Paper 3 Table 3 Model 1,Midwest,,0.84,2.02,4.89,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Other,,0.42,1.24,3.62,Original,
Paper 3 Table 3 Model 1,Other,,0.44,1.3,3.83,Reproduced,
Paper 3 Table 3 Model 1,Other,,0.41,1.22,3.68,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Partnerships for land use (ref=no),,2.29,4.04,7.13,Original,
Paper 3 Table 3 Model 1,Partnerships for land use (ref=no),,2.3,4.1,7.3,Reproduced,
Paper 3 Table 3 Model 1,Partnerships for land use (ref=no),,2.46,4.19,7.16,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 1,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,PHAB accreditation status: Engaged intend to engage (ref),ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,"Population: <50,000 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 1,"Population: <50,000 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 1,"Population: <50,000 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Quartile 2,,1,2.12,4.49,Original,
Paper 3 Table 3 Model 1,Quartile 2,,1.07,2.29,4.9,Reproduced,2sig
Paper 3 Table 3 Model 1,Quartile 2,,0.97,2,4.12,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Quartile 3,,0.92,2.11,4.83,Original,
Paper 3 Table 3 Model 1,Quartile 3,,0.98,2.25,5.15,Reproduced,
Paper 3 Table 3 Model 1,Quartile 3,,0.75,1.65,3.65,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Quartile 4,,0.68,1.67,4.07,Original,
Paper 3 Table 3 Model 1,Quartile 4,,0.65,1.61,3.99,Reproduced,
Paper 3 Table 3 Model 1,Quartile 4,,0.59,1.43,3.42,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Shared,,0.22,0.61,1.72,Original,
Paper 3 Table 3 Model 1,Shared,,0.21,0.6,1.69,Reproduced,
Paper 3 Table 3 Model 1,Shared,,0.28,0.79,2.23,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,South,,0.53,1.7,5.43,Original,
Paper 3 Table 3 Model 1,South,,0.59,1.92,6.26,Reproduced,
Paper 3 Table 3 Model 1,South,,0.92,2.67,7.75,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Undecided,,0.36,0.68,1.29,Original,
Paper 3 Table 3 Model 1,Undecided,,0.35,0.67,1.27,Reproduced,
Paper 3 Table 3 Model 1,Undecided,,0.39,0.72,1.31,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Use of community guide (ref=no),,0.92,1.65,2.97,Original,
Paper 3 Table 3 Model 1,Use of community guide (ref=no),,0.89,1.61,2.91,Reproduced,
Paper 3 Table 3 Model 1,Use of community guide (ref=no),,0.82,1.4,2.38,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,Use of core competencies (ref=no),,0.62,1.1,1.96,Original,
Paper 3 Table 3 Model 1,Use of core competencies (ref=no),,0.63,1.13,2.03,Reproduced,
Paper 3 Table 3 Model 1,Use of core competencies (ref=no),,0.7,1.2,2.07,ReproducedWithoutWeights,
Paper 3 Table 3 Model 1,West,,0.57,1.67,4.91,Original,
Paper 3 Table 3 Model 1,West,,0.9,1.71,3.35,Reproduced,
Paper 3 Table 3 Model 1,West,,0.95,2.56,6.92,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,"50,000 - 499,999",,0.83,1.76,3.72,Original,
Paper 3 Table 3 Model 2,"50,000 - 499,999",,0.8,1.69,3.6,Reproduced,
Paper 3 Table 3 Model 2,"50,000 - 499,999",,0.75,1.58,3.31,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,"500,000+",,1.48,4.3,12.51,Original,
Paper 3 Table 3 Model 2,"500,000+",,1.31,3.94,11.9,Reproduced,
Paper 3 Table 3 Model 2,"500,000+",,1.18,3.39,9.72,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Community health assessment (<5 years): Yes (ref=no),,0.65,1.35,2.8,Original,
Paper 3 Table 3 Model 2,Community health assessment (<5 years): Yes (ref=no),,0.63,1.31,2.72,Reproduced,
Paper 3 Table 3 Model 2,Community health assessment (<5 years): Yes (ref=no),,0.6,1.28,2.73,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Community health improvement plan (<5 years): Yes (ref=no),,0.67,1.32,2.58,Original,
Paper 3 Table 3 Model 2,Community health improvement plan (<5 years): Yes (ref=no),,0.64,1.26,2.5,Reproduced,
Paper 3 Table 3 Model 2,Community health improvement plan (<5 years): Yes (ref=no),,0.56,1.11,2.19,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,County,,0.32,0.9,2.53,Original,
Paper 3 Table 3 Model 2,County,,0.32,0.9,2.54,Reproduced,
Paper 3 Table 3 Model 2,County,,0.3,0.85,2.4,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Cross-jurisdictional sharing (ref=no),,0.52,0.94,1.7,Original,
Paper 3 Table 3 Model 2,Cross-jurisdictional sharing (ref=no),,0.53,0.95,1.73,Reproduced,
Paper 3 Table 3 Model 2,Cross-jurisdictional sharing (ref=no),,0.51,0.92,1.66,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Decided not to apply,,0.18,0.47,1.22,Original,
Paper 3 Table 3 Model 2,Decided not to apply,,0.17,0.45,1.18,Reproduced,
Paper 3 Table 3 Model 2,Decided not to apply,,0.16,0.45,1.25,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Original,
Paper 3 Table 3 Model 2,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,"FTE per 100,000 population: Quartile 1 (ref)",ref,1,1,1,ReproducedWithoutWeights,
Paper 3 Table 3 Model 2,Geographic region: Northeast (ref),ref,1,1,1,Original,
Paper 3 Table 3 Model 2,Geographic region: Northeast (ref),ref,1,1,1,Reproduced,
Paper 3 Table 3 Model 2,Geographic region: Northeast (ref),ref,1,1,1,ReproducedWithoutWeights,
